SPEI12(t-6),SPEI12(t-7),SPEI12(t-8),SPEI12
-0.07589719,-0.06230653,0.060989255,0.250202553
0.151571968,-0.07589719,-0.06230653,0.997271401
0.201472636,0.151571968,-0.07589719,1.223230689
0.771931735,0.201472636,0.151571968,1.246810015
0.724004371,0.771931735,0.201472636,1.586161986
0.406011177,0.724004371,0.771931735,1.94271817
0.250202553,0.406011177,0.724004371,1.883371023
0.997271401,0.250202553,0.406011177,1.86929916
1.223230689,0.997271401,0.250202553,1.937502312
1.246810015,1.223230689,0.997271401,1.539514098
1.586161986,1.246810015,1.223230689,1.427755705
1.94271817,1.586161986,1.246810015,1.622254652
1.883371023,1.94271817,1.586161986,1.709260415
1.86929916,1.883371023,1.94271817,0.98908575
1.937502312,1.86929916,1.883371023,0.660531989
1.539514098,1.937502312,1.86929916,0.52681647
1.427755705,1.539514098,1.937502312,0.009234531
1.622254652,1.427755705,1.539514098,-0.167164994
1.709260415,1.622254652,1.427755705,-0.047674463
0.98908575,1.709260415,1.622254652,-0.106519291
0.660531989,0.98908575,1.709260415,0.61591495
0.52681647,0.660531989,0.98908575,0.095509935
0.009234531,0.52681647,0.660531989,0.257324608
-0.167164994,0.009234531,0.52681647,0.168009703
-0.047674463,-0.167164994,0.009234531,-0.094950006
-0.106519291,-0.047674463,-0.167164994,-0.071359395
0.61591495,-0.106519291,-0.047674463,-0.034424025
0.095509935,0.61591495,-0.106519291,0.059869945
0.257324608,0.095509935,0.61591495,0.121130785
0.168009703,0.257324608,0.095509935,0.232838345
-0.094950006,0.168009703,0.257324608,0.507805688
-0.071359395,-0.094950006,0.168009703,0.763773605
-0.034424025,-0.071359395,-0.094950006,0.392405603
0.059869945,-0.034424025,-0.071359395,0.903985795
0.121130785,0.059869945,-0.034424025,0.592656847
0.232838345,0.121130785,0.059869945,0.992350309
0.507805688,0.232838345,0.121130785,1.36056212
0.763773605,0.507805688,0.232838345,1.24298604
0.392405603,0.763773605,0.507805688,0.982825015
0.903985795,0.392405603,0.763773605,0.772100426
0.592656847,0.903985795,0.392405603,0.642749891
0.992350309,0.592656847,0.903985795,0.454398819
1.36056212,0.992350309,0.592656847,0.06417434
1.24298604,1.36056212,0.992350309,-0.482103463
0.982825015,1.24298604,1.36056212,-0.575375395
0.772100426,0.982825015,1.24298604,-0.307796688
0.642749891,0.772100426,0.982825015,-0.445465023
0.454398819,0.642749891,0.772100426,-0.697703474
0.06417434,0.454398819,0.642749891,-1.308540776
-0.482103463,0.06417434,0.454398819,-1.151713251
-0.575375395,-0.482103463,0.06417434,-0.979448222
-0.307796688,-0.575375395,-0.482103463,-0.999585294
-0.445465023,-0.307796688,-0.575375395,-0.898415839
-0.697703474,-0.445465023,-0.307796688,-0.883704335
-1.308540776,-0.697703474,-0.445465023,-0.65835065
-1.151713251,-1.308540776,-0.697703474,-0.273678717
-0.979448222,-1.151713251,-1.308540776,-0.645398774
-0.999585294,-0.979448222,-1.151713251,-1.127562476
-0.898415839,-0.999585294,-0.979448222,-0.468482455
-0.883704335,-0.898415839,-0.999585294,-0.523541797
-0.65835065,-0.883704335,-0.898415839,-0.248682555
-0.273678717,-0.65835065,-0.883704335,-0.316913756
-0.645398774,-0.273678717,-0.65835065,-0.357756371
-1.127562476,-0.645398774,-0.273678717,-0.439407617
-0.468482455,-1.127562476,-0.645398774,-0.430627178
-0.523541797,-0.468482455,-1.127562476,-0.393302174
-0.248682555,-0.523541797,-0.468482455,-0.568737348
-0.316913756,-0.248682555,-0.523541797,-0.817920129
-0.357756371,-0.316913756,-0.248682555,-0.985898066
-0.439407617,-0.357756371,-0.316913756,-0.646906635
-0.430627178,-0.439407617,-0.357756371,-1.327387802
-0.393302174,-0.430627178,-0.439407617,-1.455310659
-0.568737348,-0.393302174,-0.430627178,-1.076238455
-0.817920129,-0.568737348,-0.393302174,-0.685450807
-0.985898066,-0.817920129,-0.568737348,-0.569506684
-0.646906635,-0.985898066,-0.817920129,0.080913024
-1.327387802,-0.646906635,-0.985898066,-0.052739887
-1.455310659,-1.327387802,-0.646906635,0.205907957
-1.076238455,-1.455310659,-1.327387802,0.154458808
-0.685450807,-1.076238455,-1.455310659,0.49111671
-0.569506684,-0.685450807,-1.076238455,0.916058115
