SPEI12(t-3),SPEI12(t-4),SPEI12(t-5),SPEI12
0.937608213,1.215245923,0.854116084,1.69739373
1.150459008,0.937608213,1.215245923,1.64964106
1.414639206,1.150459008,0.937608213,1.773413961
1.69739373,1.414639206,1.150459008,1.699441307
1.64964106,1.69739373,1.414639206,1.841167338
1.773413961,1.64964106,1.69739373,1.885476794
1.699441307,1.773413961,1.64964106,2.075503947
1.841167338,1.699441307,1.773413961,2.27947625
1.885476794,1.841167338,1.699441307,2.355980022
2.075503947,1.885476794,1.841167338,2.35545002
2.27947625,2.075503947,1.885476794,2.243494558
2.355980022,2.27947625,2.075503947,2.038915776
2.35545002,2.355980022,2.27947625,1.831305028
2.243494558,2.35545002,2.355980022,1.755928363
2.038915776,2.243494558,2.35545002,1.574639747
1.831305028,2.038915776,2.243494558,1.586308921
1.755928363,1.831305028,2.038915776,1.109233281
1.574639747,1.755928363,1.831305028,1.268768976
1.586308921,1.574639747,1.755928363,0.718216446
1.109233281,1.586308921,1.574639747,0.13541839
1.268768976,1.109233281,1.586308921,-0.142530998
0.718216446,1.268768976,1.109233281,-0.003953155
0.13541839,0.718216446,1.268768976,0.178395886
-0.142530998,0.13541839,0.718216446,0.988794474
-0.003953155,-0.142530998,0.13541839,0.525728239
0.178395886,-0.003953155,-0.142530998,0.40096722
0.988794474,0.178395886,-0.003953155,0.275702799
0.525728239,0.988794474,0.178395886,0.074138534
0.40096722,0.525728239,0.988794474,0.228408426
0.275702799,0.40096722,0.525728239,0.32677679
0.074138534,0.275702799,0.40096722,0.722666545
0.228408426,0.074138534,0.275702799,0.991038216
0.32677679,0.228408426,0.074138534,1.260804647
0.722666545,0.32677679,0.228408426,1.208884544
0.991038216,0.722666545,0.32677679,1.052033851
1.260804647,0.991038216,0.722666545,0.717344489
1.208884544,1.260804647,0.991038216,1.453081025
1.052033851,1.208884544,1.260804647,1.680543556
0.717344489,1.052033851,1.208884544,1.456374781
1.453081025,0.717344489,1.052033851,1.507794956
1.680543556,1.453081025,0.717344489,1.37702702
