SPEI12(t-1),SPEI12(t-2),SPEI12(t-3),SPEI12
0.332900595,0.612786582,0.599730706,-0.011680571
-0.011680571,0.332900595,0.612786582,0.267832112
0.267832112,-0.011680571,0.332900595,0.265786186
0.265786186,0.267832112,-0.011680571,0.363847711
0.363847711,0.265786186,0.267832112,0.592141353
0.592141353,0.363847711,0.265786186,0.695471501
0.695471501,0.592141353,0.363847711,0.893172985
0.893172985,0.695471501,0.592141353,0.810811812
0.810811812,0.893172985,0.695471501,0.883122002
0.883122002,0.810811812,0.893172985,1.224310717
1.224310717,0.883122002,0.810811812,1.665812449
1.665812449,1.224310717,0.883122002,1.614184734
1.614184734,1.665812449,1.224310717,1.951345384
1.951345384,1.614184734,1.665812449,1.82767544
1.82767544,1.951345384,1.614184734,1.96142836
1.96142836,1.82767544,1.951345384,1.780566537
1.780566537,1.96142836,1.82767544,1.440303302
1.440303302,1.780566537,1.96142836,1.301633893
1.301633893,1.440303302,1.780566537,0.851787654
0.851787654,1.301633893,1.440303302,0.79954394
0.79954394,0.851787654,1.301633893,0.275875635
0.275875635,0.79954394,0.851787654,0.108849398
0.108849398,0.275875635,0.79954394,0.219608962
0.219608962,0.108849398,0.275875635,0.718100953
0.718100953,0.219608962,0.108849398,0.68905472
0.68905472,0.718100953,0.219608962,0.572837487
0.572837487,0.68905472,0.718100953,-0.025855665
-0.025855665,0.572837487,0.68905472,0.919483804
0.919483804,-0.025855665,0.572837487,1.147632136
1.147632136,0.919483804,-0.025855665,1.426769743
1.426769743,1.147632136,0.919483804,1.641589776
1.641589776,1.426769743,1.147632136,2.030477675
2.030477675,1.641589776,1.426769743,2.298466202
2.298466202,2.030477675,1.641589776,2.063564285
2.063564285,2.298466202,2.030477675,1.850462673
1.850462673,2.063564285,2.298466202,1.485665147
1.485665147,1.850462673,2.063564285,1.61279901
1.61279901,1.485665147,1.850462673,1.574419641
1.574419641,1.61279901,1.485665147,1.568501263
1.568501263,1.574419641,1.61279901,0.919946179
0.919946179,1.568501263,1.574419641,0.974092651
0.974092651,0.919946179,1.568501263,0.831090629
0.831090629,0.974092651,0.919946179,0.698469257
0.698469257,0.831090629,0.974092651,0.39003089
0.39003089,0.698469257,0.831090629,-0.145239397
-0.145239397,0.39003089,0.698469257,-0.59247092
-0.59247092,-0.145239397,0.39003089,-0.539213001
-0.539213001,-0.59247092,-0.145239397,-0.454801982
-0.454801982,-0.539213001,-0.59247092,-1.216703009
-1.216703009,-0.454801982,-0.539213001,-1.21818125
-1.21818125,-1.216703009,-0.454801982,-0.577454054
-0.577454054,-1.21818125,-1.216703009,-0.452453951
-0.452453951,-0.577454054,-1.21818125,-0.805650782
-0.805650782,-0.452453951,-0.577454054,-1.264500825
-1.264500825,-0.805650782,-0.452453951,-1.148917803
-1.148917803,-1.264500825,-0.805650782,-1.240299633
-1.240299633,-1.148917803,-1.264500825,-1.064065191
